ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
9.10_401.3408m/z	456369.7636	424528.7644	203963.5794	884508.1401	495619.7694	482367.5416	372915.1175	1144989.347	1084319.446	674543.7511	607342.3578	1363390.35
8.89_299.2367m/z	15187.81054	18583.98459	16428.16576	11917.53832	26987.25956	21862.67675	29281.90907	52003.96974	43979.72492	83651.30083	108404.3206	69847.09417
5.66_273.1802m/z	103118.1797	190412.017	45848.49487	37225.32602	137204.5654	78395.35443	50193.3589	27646.58996	32995.3337	25607.1938	24126.40563	23605.5672
4.13_162.0680n	235918.7082	256264.0217	156178.2632	217443.5536	234145.5556	317149.9661	323503.7855	218774.7843	196294.5505	170199.4753	159822.1408	182427.0415
7.88_286.2292n	7218.355547	11294.02452	4824.361684	6832.813532	7891.60054	8157.563498	3766.264581	107206.6352	66575.82088	73713.14643	77956.46171	117686.4036
5.93_386.2531m/z	180683.7613	188974.2884	111741.9042	105307.9152	181123.4467	171383.825	167456.5193	92394.31752	93712.32486	138965.3854	102540.1	114481.4399
9.15_317.2107m/z	34670.14901	34844.36557	61745.20685	101264.2789	49434.7477	48102.719	52116.2659	90354.7111	90055.59979	93457.6233	104192.7026	140256.4254
6.65_362.2089n	4781928.834	6968697.864	7298610.391	8235402.252	9307940.611	6837924.583	13810043.8	15670794.23	12346898.94	12626579.95	11801570.01	20255966.11
0.85_168.0290m/z	419677.0204	439457.5884	255319.762	106481.9262	474716.1253	325984.4517	548096.5863	82626.68017	52564.24565	91821.16194	111062.1051	53710.22853
1.35_392.2020m/z	548710.2418	499607.4358	218647.6168	418996.4256	507040.4167	882352.3647	571254.5386	266729.0139	95636.66433	311280.0186	125519.2016	29407.07106
8.59_309.2055m/z	89168.1832	108876.5763	125685.6661	120881.1827	147815.1958	108051.6799	120118.4351	227312.4251	334321.1668	182872.7446	135886.5784	351193.7599
8.51_425.3393m/z	368109.4037	301026.8667	269883.7129	407138.8158	270493.903	242401.8635	346298.8091	208857.1382	146714.3221	158209.9712	129149.3693	192616.1152
